	reads per sample	original OTUs	final OTUs
59000	34588	6110	5447
59001	29653	6344	5465
59002	33175	6651	5720
59003	40467	4752	3979
59004	43437	4039	3502
59005	66760	2744	2069
59006	51130	7026	5917
59007	55749	3363	2793
401954	53877	3269	2932
401955	57236	3817	3432
401956	37233	4936	4478
401957	45321	5128	4579
401958	41155	5232	4739
401959	83203	7519	6579
401960	36249	3327	2967
401961	39052	3978	3570
401962	40281	4770	4393
401963	41612	5671	5230
401964	29096	3055	2799
401965	47540	5045	4589
401966	31130	4124	3848
401967	39006	4036	3678
401968	32408	3047	2714
401969	37057	2859	2519
401970	60550	3178	2751
401971	49202	4612	4105
401972	28819	5073	4713
401973	52812	6529	5992
401974	50066	5908	5425
401975	46344	5941	5510
401976	45892	5604	5094
401977	33881	4214	3898
401978	68040	4253	3739
401979	78799	4124	3588
401980	43385	4107	3668
401981	41420	3100	2823
401982	78176	4537	4030
401983	51049	3669	3253
401984	67018	5295	4697
401985	60331	4848	4309
401986	44403	4186	3845
401987	33608	3628	3274
401988	30122	4601	4181
401989	28030	2979	2636
401990	46888	5274	4887
401991	37970	4196	3767
401992	51349	7066	6500
401993	22520	3227	3023
401994	43544	7390	6869
401995	32468	5909	5448
401996	26862	5120	4784
401997	28946	3930	3674
401998	60937	2544	2281
401999	42700	3255	2904
402000	65212	3550	3039
402001	47532	3137	2839
402002	50137	3022	2690
402003	39898	1971	1754
402004	25335	5940	5408
402005	25981	5629	5180
402006	40543	5831	5217
402007	27996	5025	4456
402008	59031	6935	6326
402009	43557	5564	5002
402010	49807	5967	5457
402011	74223	7161	6417
402012	42234	4283	3744
402013	49386	3715	3357
402014	63415	5294	4754
402015	45485	3880	3397
402016	46871	5106	4531
402017	78406	4999	4432
402018	24896	2669	2495
402019	32978	2677	2408
402020	19649	2230	2081
402021	30799	2704	2392
402022	25877	3085	2887
402023	27520	2739	2489
402024	29457	5050	4620
402025	33336	5947	5456
402026	44337	5262	4745
402027	38079	4749	4295
402028	29826	4026	3652
402029	57655	6003	5469
402030	65177	6618	6052
402031	46130	4447	4003
402032	72215	3442	2831
402033	49634	2304	1892
402034	54626	4032	3533
402035	34480	2969	2617
402036	37363	4589	4213
402037	46011	3921	3465
402038	49528	5577	5174
402039	42974	3760	3333
402040	48143	3341	2937
402041	51410	3321	2752
402042	70747	3544	3050
402043	58907	2272	1939
402044	73441	4308	3549
402045	52828	3512	2953
402046	71986	6730	5962
402047	37272	5985	5339
402048	33444	5105	4736
402049	29348	4556	4242
402050	46498	4373	3999
402051	6290	1173	1136
402052	23780	2441	2166
402053	31343	4189	3891
402054	43896	5388	5004
402055	38115	4292	4016
402056	34276	5220	4838
402057	7071	959	929
402058	30220	5659	5240
402059	11583	2370	2254
402060	20456	2524	2268
402061	22982	2522	2256
402062	32294	4109	3791
