	reads per sample	original OTUs	final OTUs
59000	33996	725	566
59001	39001	849	681
59002	31203	778	625
59003	93802	176	112
59004	34959	658	467
59005	78913	293	236
59006	45896	625	467
59007	2567	79	69
401954	34603	611	488
401955	34301	835	657
401956	24298	910	722
401957	40052	887	663
401958	42523	1471	1175
401959	45267	1307	1067
401960	37101	864	687
401961	26045	919	780
401962	16848	788	666
401963	63093	1068	840
401964	53805	1221	996
401965	52542	1150	911
401966	51387	1245	1014
401967	102998	1042	811
401968	46307	934	747
401969	45173	736	554
401970	45901	699	550
401971	63023	763	587
401972	57906	1280	1019
401973	59728	1241	971
401974	54696	1371	1121
401975	57451	1671	1340
401976	36219	1143	929
401977	31324	1001	813
401978	47935	828	677
401979	66933	861	677
401980	42901	684	543
401981	49969	732	546
401982	42379	754	601
401983	52695	825	664
401984	42206	975	791
401985	37922	969	782
401986	41555	578	434
401987	58994	755	537
401988	47242	1225	1001
401989	78826	779	582
401990	58848	1170	921
401991	87740	917	685
401992	53507	1033	833
401993	14942	185	95
401994	68837	1131	780
401995	465615	497	155
401996	93779	1002	637
401997	125556	567	225
401998	556913	558	196
401999	80801	1015	614
402000	80546	821	493
402001	446031	593	273
402002	45937	635	485
402003	91042	343	222
402004	51447	964	783
402005	41751	1024	830
402006	48901	994	775
402007	55990	1072	861
402008	47504	743	565
402009	34130	613	471
402010	40166	1001	775
402011	58797	1297	1009
402012	58774	1075	835
402013	510249	775	284
402014	54937	983	730
402015	84049	1227	867
402016	65501	1287	986
402017	74531	1159	853
402018	12745	426	361
402019	41083	694	524
402020	76	49	49
402021	56422	725	523
402022	2006	298	279
402023	67945	1064	784
402024	52832	946	794
402025	53943	1195	1003
402026	89061	1211	896
402027	67202	1165	881
402028	165038	1076	772
402029	241261	1079	688
402030	70585	1430	1069
402031	108732	1102	805
402032	82974	1037	742
402033	83667	930	686
402034	37447	885	728
402035	200230	769	516
402036	72661	1002	726
402037	81899	1057	803
402038	38610	1264	1051
402039	81178	1197	919
402040	89807	1483	1154
402041	397799	686	508
402042	46198	856	679
402043	190557	701	431
402044	89528	1271	1002
402045	329256	902	614
402046	76577	901	623
402047	188609	384	289
402048	50162	764	589
402049	60089	691	540
402050	24099	521	428
402051	199360	313	128
402052	39032	554	450
402053	37374	458	369
402054	33046	599	475
402055	46524	507	424
402056	53156	446	380
402057	316840	290	130
402058	31194	653	534
402059	85781	578	399
402060	22888	886	752
402061	153784	374	270
402062	36828	786	627
402063	203276	355	252
402064	43650	659	516
402065	201587	193	136
402066	39102	761	620
402067	270204	416	242
402068	26256	846	695
402069	207556	368	209
402070	214177	311	160
402071	176525	425	239
402072	96850	533	397
402073	113649	220	113
402074	35437	390	285
402075	145172	474	300
402076	46688	446	389
402077	67518	344	153
402078	31631	426	345
402079	60916	408	361
402080	26858	545	463
402081	207738	427	227
402082	210792	365	240
402083	345	132	132
402084	58879	694	543
402085	194405	396	277
402086	207537	406	228
402087	198690	457	214
402088	116967	340	174
402089	2417	153	130
402090	288552	490	260
402091	73629	409	219
402092	157071	310	168
402093	254576	442	213
402094	173838	414	256
402095	18068	253	167
402096	46347	450	301
402097	55126	454	335
402098	27208	456	363
402099	153769	263	195
402100	38939	505	405
402101	140251	422	235
402102	39749	533	431
402103	549	52	50
402104	41008	478	393
402105	110607	344	275
402106	23636	720	590
402107	289104	678	296
402108	38160	832	650
402109	57224	906	724
402110	60033	945	693
402111	70908	417	248
402112	43890	1184	904
402113	169651	598	300
402114	27716	874	692
402115	33674	857	683
402116	24992	881	711
402117	34612	710	577
402118	25317	983	790
402119	23621	964	796
402120	20429	699	583
402121	25807	715	599
402122	28595	1168	927
402123	34198	1251	1001
402124	23567	1191	949
402125	31676	896	708
402126	32246	1106	901
402127	34717	936	730
402128	1313	333	333
402129	39107	709	564
402130	41111	852	659
402131	41360	923	736
402132	41065	1072	863
402133	46515	695	546
402134	39713	985	816
402135	56780	869	738
402136	37174	1451	1253
402137	41344	778	653
402138	32579	866	733
402139	53356	784	650
402140	29528	1172	1022
402141	27523	653	540
402142	36340	942	771
402143	262300	361	252
402144	42143	825	642
402145	50445	614	515
402146	85239	1336	1022
402147	101341	970	727
402148	108057	993	716
402149	131479	971	688
402150	48147	1142	895
402151	51148	1201	923
402152	63121	1037	825
402153	53055	936	744
402154	56860	1283	1040
402155	64245	1117	906
402156	47937	1180	966
402157	62769	1190	948
402158	58877	1079	907
402159	65627	966	805
402160	51374	1010	846
402161	46180	903	740
402162	66119	1015	776
402163	64880	853	736
402164	36261	843	697
402165	44643	823	720
Run1a.ATCC1010MOCK	51672	271	148
Run1a.No	2714	261	236
Run1a.Soil	142746	1092	884
Run1b.ATCC1010MOCK	52855	196	89
Run1b.No	1612	298	289
Run1b.Soil	120432	1139	921
Run2a.ATCC1010MOCK	118764	493	232
Run2a.No	2279	470	455
Run2a.Soil	225264	1361	899
Run2b.ATCC1010MOCK	157638	358	85
Run2b.No	3285	398	368
Run2b.Soil	206845	1071	738
