"","Kingdom","Phylum","Class","Order","Family","Genus","Species","count"
"OTU2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,2558147
"OTU71","Bacteria","Acidobacteria","Acidobacteria_Gp1",NA,NA,NA,NA,526768
"OTU13","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,494849
"OTU16","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,485730
"OTU151","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,465797
"OTU26","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,402510
"OTU41","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,398523
"OTU462","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,322205
"OTU119","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,273972
"OTU1639","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Blastococcus",NA,270702
"OTU126","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,265832
"OTU2260","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,213433
"OTU19","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,208765
"OTU491","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales",NA,NA,NA,208680
"OTU131","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,204019
"OTU1441","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,203056
"OTU439","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,177697
"OTU510","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Geodermatophilus",NA,175427
"OTU39","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,174690
"OTU254","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,172180
"OTU42","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,170147
"OTU553","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,160393
"OTU49","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,159238
"OTU36","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,159130
"OTU209","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus",NA,154506
"OTU171","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,131087
"OTU727","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Pseudonocardia",NA,129187
"OTU1580","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Pseudonocardia",NA,115762
"OTU1134","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,111821
"OTU1335","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,110264
"OTU6583","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,107713
"OTU1052","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Geodermatophilus",NA,107228
"OTU2273","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA,103168
"OTU194","Bacteria","Actinobacteria","Actinobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter",NA,103097
"OTU774","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,94603
"OTU234","Bacteria","Acidobacteria","Acidobacteria_Gp1",NA,NA,NA,NA,92163
"OTU218","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,86442
"OTU1161","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Conexibacteraceae","Conexibacter",NA,85477
"OTU145","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,84844
"OTU196","Bacteria","Acidobacteria","Acidobacteria_Gp1",NA,NA,NA,NA,84697
"OTU152","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,84444
"OTU168","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,84277
"OTU354","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Pseudonocardia",NA,81455
"OTU1372","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,80247
"OTU2175","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA,79187
"OTU6752","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,78279
"OTU235","Bacteria","Acidobacteria","Acidobacteria_Gp1",NA,NA,NA,NA,77048
"OTU909","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,75864
"OTU68","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,75267
"OTU362","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,74984
