"","Kingdom","Phylum","Class","Order","Family","Genus","Species","count"
"OTU2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA,174
"OTU151","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,152
"OTU462","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,120
"OTU16","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,117
"OTU13","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,112
"OTU126","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,112
"OTU26","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,104
"OTU41","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,104
"OTU439","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,104
"OTU2260","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,103
"OTU553","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,99
"OTU71","Bacteria","Acidobacteria","Acidobacteria_Gp1",NA,NA,NA,NA,79
"OTU42","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,78
"OTU119","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,78
"OTU1335","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,68
"OTU2273","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA,66
"OTU171","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,65
"OTU36","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,61
"OTU1639","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Blastococcus",NA,60
"OTU1372","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,59
"OTU518","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,56
"OTU510","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Geodermatophilus",NA,55
"OTU19","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,54
"OTU131","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,54
"OTU1441","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,53
"OTU234","Bacteria","Acidobacteria","Acidobacteria_Gp1",NA,NA,NA,NA,52
"OTU774","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,52
"OTU254","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,51
"OTU235","Bacteria","Acidobacteria","Acidobacteria_Gp1",NA,NA,NA,NA,50
"OTU5286","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,50
"OTU152","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,48
"OTU39","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,47
"OTU168","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,47
"OTU196","Bacteria","Acidobacteria","Acidobacteria_Gp1",NA,NA,NA,NA,47
"OTU400","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,46
"OTU797","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,46
"OTU909","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,46
"OTU6583","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,46
"OTU218","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,45
"OTU513","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,45
"OTU5239","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes",NA,44
"OTU154","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Granulicella",NA,43
"OTU136","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Edaphobacter",NA,42
"OTU273","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,41
"OTU327","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Gp1",NA,41
"OTU49","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,40
"OTU1399","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces",NA,40
"OTU1870","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,40
"OTU145","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,39
"OTU786","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,39
