"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium",NA
"OTU13","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU14","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto",NA
"OTU16","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU19","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU26","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU31","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU36","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU38","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU39","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU41","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU42","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU49","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU68","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU71","Bacteria","Acidobacteria","Acidobacteria_Gp1",NA,NA,NA,NA
"OTU73","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae",NA,NA
"OTU74","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU95","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU96","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU97","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
